"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"HIST1H4C"	0	3.61699289410958	0.904	0.568	0	"Cycling B"	"HIST1H4C"
"TUBA1B"	0	3.23422534318082	0.977	0.386	0	"Cycling B"	"TUBA1B"
"TUBB"	0	2.47743268559642	0.981	0.551	0	"Cycling B"	"TUBB"
"HMGB2"	0	2.4169415887813	0.965	0.414	0	"Cycling B"	"HMGB2"
"STMN1"	0	2.37406259860463	0.97	0.355	0	"Cycling B"	"STMN1"
"H2AFZ"	0	2.36580274789	0.993	0.651	0	"Cycling B"	"H2AFZ"
"UBE2C"	0	2.22598605552192	0.673	0.049	0	"Cycling B"	"UBE2C"
"DUT"	0	2.14339260718243	0.92	0.348	0	"Cycling B"	"DUT"
"TYMS"	0	2.1038981109692	0.765	0.045	0	"Cycling B"	"TYMS"
"TUBB4B"	0	1.98074450302947	0.795	0.204	0	"Cycling B"	"TUBB4B"
"MKI67"	0	1.83416396968044	0.687	0.048	0	"Cycling B"	"MKI67"
"TOP2A"	0	1.78777119003369	0.62	0.038	0	"Cycling B"	"TOP2A"
"NUSAP1"	0	1.67344258670992	0.709	0.087	0	"Cycling B"	"NUSAP1"
"PCNA"	0	1.6160039207376	0.662	0.067	0	"Cycling B"	"PCNA"
"CENPF"	0	1.6127012357755	0.582	0.054	0	"Cycling B"	"CENPF"
"CDK1"	0	1.60117938209271	0.59	0.025	0	"Cycling B"	"CDK1"
"TK1"	0	1.59795891712354	0.671	0.044	0	"Cycling B"	"TK1"
"CDC20"	0	1.58953530066431	0.502	0.037	0	"Cycling B"	"CDC20"
"MCM7"	0	1.58690088930602	0.745	0.117	0	"Cycling B"	"MCM7"
"SMC4"	0	1.54076621247128	0.769	0.175	0	"Cycling B"	"SMC4"
"HIST1H1B"	0	1.53498531854062	0.42	0.021	0	"Cycling B"	"HIST1H1B"
"HMGN2"	0	1.53119386143846	0.997	0.853	0	"Cycling B"	"HMGN2"
"H2AFX"	0	1.50931074441292	0.747	0.16	0	"Cycling B"	"H2AFX"
"RANBP1"	0	1.49346951209556	0.802	0.267	0	"Cycling B"	"RANBP1"
"HMGB1"	0	1.4873521249243	0.998	0.944	0	"Cycling B"	"HMGB1"
"DEK"	0	1.48384156554094	0.927	0.482	0	"Cycling B"	"DEK"
"CENPM"	0	1.46334888798296	0.788	0.16	0	"Cycling B"	"CENPM"
"CKS1B"	0	1.44325762411213	0.707	0.104	0	"Cycling B"	"CKS1B"
"CDKN3"	0	1.44085232450411	0.643	0.075	0	"Cycling B"	"CDKN3"
"CKS2"	0	1.4287215440343	0.807	0.351	0	"Cycling B"	"CKS2"
"CCNB2"	0	1.42569587641348	0.538	0.049	0	"Cycling B"	"CCNB2"
"PLK1"	0	1.37408081405686	0.426	0.021	0	"Cycling B"	"PLK1"
"BIRC5"	0	1.36025093009231	0.636	0.053	0	"Cycling B"	"BIRC5"
"DHFR"	0	1.34418835562197	0.66	0.094	0	"Cycling B"	"DHFR"
"AURKB"	0	1.33668226458102	0.578	0.027	0	"Cycling B"	"AURKB"
"ZWINT"	0	1.30400806863149	0.629	0.027	0	"Cycling B"	"ZWINT"
"TPX2"	0	1.29975710159744	0.554	0.048	0	"Cycling B"	"TPX2"
"PTTG1"	0	1.25874928194414	0.865	0.437	0	"Cycling B"	"PTTG1"
"GINS2"	0	1.25790528945442	0.611	0.086	0	"Cycling B"	"GINS2"
"CDCA3"	0	1.25714789982649	0.535	0.022	0	"Cycling B"	"CDCA3"
"KIF22"	0	1.25039025866993	0.601	0.055	0	"Cycling B"	"KIF22"
"SIVA1"	0	1.24834282204159	0.804	0.284	0	"Cycling B"	"SIVA1"
"H2AFV"	0	1.2387321618136	0.911	0.517	0	"Cycling B"	"H2AFV"
"CCNB1"	0	1.20236173164545	0.517	0.095	0	"Cycling B"	"CCNB1"
"TMPO"	0	1.19972384421001	0.755	0.213	0	"Cycling B"	"TMPO"
"ASF1B"	0	1.19939938960539	0.555	0.014	0	"Cycling B"	"ASF1B"
"CCNA2"	0	1.196705115779	0.542	0.012	0	"Cycling B"	"CCNA2"
"HIST1H3B"	0	1.15219293500951	0.327	0.01	0	"Cycling B"	"HIST1H3B"
