"Cycling B"	"LZ GC"	"DZ GC"	"GC"	"prePB"	"FCRL2/3high GC"
"AL627309.1"	0.00238882778437019	0.0029868792368882	0.000413765498155661	0.000970785406980458	0	0
"AL669831.5"	0.0442680078976294	0.0657167345093803	0.090593446261384	0.0665381886573921	0.0215413378310129	0.0415960500035907
"FAM87B"	0.000339932842292271	0	0	0.000273241737238176	0	0.0336333427506693
"LINC00115"	0.0316740840763115	0.0589588488796728	0.0391682942959159	0.04606190608918	0.0437887901461696	0.0981251540577893
"FAM41C"	0.0084449222298802	0.0266325507689938	0.00566050262778303	0.0088795276791642	0.00564747447765096	0.0143000143000143
"NOC2L"	0.368012937783043	0.842287971372809	0.469100031905222	0.392067203975194	0.495608558501173	0.486894053890876
"KLHL17"	0.0182803892446908	0.0113240155357358	0.00929747590383279	0.0158949900951587	0.0172248582899214	0
"PLEKHN1"	0.000349780008633294	0	0	0	0.00386358903467069	0.00610527446871901
"HES4"	0.00714470165210981	0.00239857073966765	0.00143102684655987	0.00380217674927334	0	0
"ISG15"	0.436775639115682	0.521893734117963	0.418894240190369	0.553191634367944	0.80338314488784	0.947465503212098
"AL645608.2"	0.00037574992968704	0	0	0.00313553545813661	0	0
"AGRN"	0.00429912887606605	0.0020439803246454	0.000831922600583394	0.00678826374340156	0.00517175394863414	0
"C1orf159"	0.0340227597822993	0.0455953675667508	0.01718316052522	0.0275736285252477	0	0.0489184642541905
"TNFRSF18"	0.0423409816817622	0.477392105909836	0.0053102213559959	0.0360820539057944	0.275776199617126	0.0178341400545719
"TNFRSF4"	0.026628935689527	0.13664186460785	0.0014345699804755	0.0167586587619788	0.00962131231883971	0
"SDF4"	0.392207363137957	0.536341516750654	0.391447149009469	0.404116739346545	0.435011266868108	0.368826062160868
"B3GALT6"	0.0343638894711259	0.065491406376201	0.039300037863508	0.049675363766471	0.00915997530470658	0.00897041199308202
"C1QTNF12"	0.00385883826535855	0.00846329942320175	0.0132926604744712	0.00353285933550819	0	0
"AL162741.1"	0.0011433339487617	0.0108338602951586	0.00428099751761346	0.000510910493590628	0	0
"UBE2J2"	0.547497901918427	0.592105253876892	0.643103859681251	0.499912848908452	0.671763288378425	0.355910535066967
"SCNN1D"	0.000562313697491608	0	0.00492502655609526	0.00391069732471433	0	0.00830203466265512
"ACAP3"	0.0784526447229166	0.027436599454102	0.0254602345357696	0.0506249102053946	0.0776057942946493	0.0635167165444854
"PUSL1"	0.1745499207685	0.145048006866949	0.107149517532846	0.0742667145457726	0.0428706014613068	0.0441616385330669
"INTS11"	0.655672221687928	0.655962725473237	0.931900298880031	0.687334021782675	0.841041357864323	0.548104312149219
"CPTP"	0.150344956347321	0.0551687741488666	0.42826312834557	0.158679487484685	0.170326678272	0.120962458538648
"TAS1R3"	0.0243382035846136	0.00822901872186594	0.128791139145879	0.0462003310019697	0.0847615083011313	0
"DVL1"	0.0219301921473564	0.0259346295101078	0.0259852788921845	0.0330441899179442	0.00447872159370829	0.0225868788980877
"AURKAIP1"	2.12458720287162	1.60089064406472	1.56174719663441	1.24143971024642	1.18295821955224	1.01631363531047
"CCNL2"	0.350961587057973	0.400227762282153	0.471109049772945	0.464509704831992	0.430223578044384	0.439460654704359
"MRPL20"	1.57311929016338	1.94694781793611	1.3380271822783	1.29614977519862	1.36604681929667	1.08105716677966
"AL391244.3"	0.00740306040882074	0.00655888288814368	0.00787739035436609	0.00442085974281192	0	0
"ANKRD65"	0.00103757251115656	0	0.000660841743205357	0.000650332249894343	0	0
"VWA1"	5.25194954336531e-05	0	0	0.000768945876958825	0	0
"ATAD3C"	0.00426227288216267	0	0.00467986233565183	0.00709163862876172	0.00816341469430558	0.0206541585082741
"ATAD3B"	0.139611069709631	0.245742976833838	0.0950282471867933	0.10238953177307	0.116459032957881	0.0564542100559826
"ATAD3A"	0.159931789835338	0.198138561155282	0.0513549923044023	0.0620421555147006	0.0882510481267584	0.0411167378970907
"TMEM240"	0.000983561992191707	0	0.00275636179841049	0.0022529207220002	0.00915997530470658	0
