"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"CCL5"	0	5.17870895826239	0.873	0.044	0	"CD8+ Cytotoxic"	"CCL5"
"CCL4"	0	4.64837525568043	0.633	0.024	0	"CD8+ Cytotoxic"	"CCL4"
"NKG7"	0	4.38636684396761	0.826	0.019	0	"CD8+ Cytotoxic"	"NKG7"
"GZMK"	0	4.06160448455571	0.824	0.009	0	"CD8+ Cytotoxic"	"GZMK"
"CST7"	0	3.65898362405855	0.849	0.019	0	"CD8+ Cytotoxic"	"CST7"
"GZMA"	0	3.33633784150879	0.667	0.007	0	"CD8+ Cytotoxic"	"GZMA"
"CD8A"	0	2.97587025863001	0.609	0.014	0	"CD8+ Cytotoxic"	"CD8A"
"IL32"	0	2.81083608097316	0.922	0.135	0	"CD8+ Cytotoxic"	"IL32"
"CCL4L2"	0	2.58696987734557	0.23	0.007	0	"CD8+ Cytotoxic"	"CCL4L2"
"GNLY"	0	2.47014569783565	0.086	0.003	0	"CD8+ Cytotoxic"	"GNLY"
"CD3E"	0	2.33716000464375	0.922	0.151	0	"CD8+ Cytotoxic"	"CD3E"
"CD8B"	0	2.28976132134548	0.539	0.022	0	"CD8+ Cytotoxic"	"CD8B"
"HCST"	0	2.26804672222368	0.903	0.311	0	"CD8+ Cytotoxic"	"HCST"
"TNFAIP3"	0	2.0694537632845	0.623	0.211	0	"CD8+ Cytotoxic"	"TNFAIP3"
"GZMM"	0	2.06666605829778	0.651	0.07	0	"CD8+ Cytotoxic"	"GZMM"
"RARRES3"	0	2.06392369050056	0.768	0.194	0	"CD8+ Cytotoxic"	"RARRES3"
"CTSW"	0	2.00597048583125	0.552	0.025	0	"CD8+ Cytotoxic"	"CTSW"
"CD3D"	0	1.98763043632655	0.865	0.147	0	"CD8+ Cytotoxic"	"CD3D"
"CD2"	0	1.95477006465478	0.734	0.117	0	"CD8+ Cytotoxic"	"CD2"
"CD7"	0	1.93848517161402	0.709	0.125	0	"CD8+ Cytotoxic"	"CD7"
"GIMAP7"	0	1.93778127002054	0.645	0.089	0	"CD8+ Cytotoxic"	"GIMAP7"
"ITM2C"	0	1.87889037522624	0.508	0.099	0	"CD8+ Cytotoxic"	"ITM2C"
"CMC1"	0	1.80184963559643	0.51	0.138	0	"CD8+ Cytotoxic"	"CMC1"
"GIMAP4"	0	1.77982029432966	0.625	0.076	0	"CD8+ Cytotoxic"	"GIMAP4"
"XCL1"	0	1.70987843532	0.245	0.003	0	"CD8+ Cytotoxic"	"XCL1"
"KLRG1"	0	1.70254932440034	0.441	0.027	0	"CD8+ Cytotoxic"	"KLRG1"
"GZMH"	0	1.67169179194778	0.199	0.001	0	"CD8+ Cytotoxic"	"GZMH"
"FYN"	0	1.65738411379173	0.627	0.121	0	"CD8+ Cytotoxic"	"FYN"
"CD3G"	0	1.63565702499219	0.642	0.096	0	"CD8+ Cytotoxic"	"CD3G"
"SH2D1A"	0	1.6165639293354	0.527	0.057	0	"CD8+ Cytotoxic"	"SH2D1A"
"CXCR3"	0	1.56659213769773	0.486	0.042	0	"CD8+ Cytotoxic"	"CXCR3"
"LINC00861"	0	1.5243666723585	0.413	0.04	0	"CD8+ Cytotoxic"	"LINC00861"
"FYB1"	0	1.48479348254825	0.726	0.134	0	"CD8+ Cytotoxic"	"FYB1"
"ANXA1"	0	1.43200892773933	0.279	0.018	0	"CD8+ Cytotoxic"	"ANXA1"
"SRGN"	0	1.41176342672023	0.898	0.444	0	"CD8+ Cytotoxic"	"SRGN"
"TRBC1"	0	1.40583946576108	0.469	0.086	0	"CD8+ Cytotoxic"	"TRBC1"
"PRF1"	0	1.39959231379468	0.316	0.009	0	"CD8+ Cytotoxic"	"PRF1"
"LCP2"	0	1.3607150068601	0.555	0.125	0	"CD8+ Cytotoxic"	"LCP2"
"IL2RB"	0	1.34707269242872	0.457	0.071	0	"CD8+ Cytotoxic"	"IL2RB"
"IFNG"	0	1.32635997996885	0.183	0.003	0	"CD8+ Cytotoxic"	"IFNG"
